trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
05_01_0061_02_003511,09:15:00,09:15:00,0450_01,7,深大寺,0,0,,
05_01_0061_04_003511,09:59:00,09:59:00,0450_01,7,深大寺,0,0,,
05_01_0061_06_003511,10:39:00,10:39:00,0450_01,7,深大寺,0,0,,
05_01_0092_02_003511,13:36:00,13:36:00,0450_01,7,深大寺,0,0,,
05_01_0102_02_003511,13:56:00,13:56:00,0450_01,7,深大寺,0,0,,
05_01_0102_04_003511,14:36:00,14:36:00,0450_01,7,深大寺,0,0,,
05_01_0351_04_003511,09:38:00,09:38:00,0450_01,7,深大寺,0,0,,
05_01_0351_06_003511,10:17:00,10:17:00,0450_01,7,深大寺,0,0,,
05_01_0351_08_003511,11:15:00,11:15:00,0450_01,7,深大寺,0,0,,
05_01_0372_02_003511,13:19:00,13:19:00,0450_01,7,深大寺,0,0,,
05_01_0372_04_003511,14:19:00,14:19:00,0450_01,7,深大寺,0,0,,
05_01_0372_06_003511,14:56:00,14:56:00,0450_01,7,深大寺,0,0,,
05_01_0382_02_003511,12:19:00,12:19:00,0450_01,7,深大寺,0,0,,
05_01_0382_04_003511,13:01:00,13:01:00,0450_01,7,深大寺,0,0,,
05_01_0553_02_003511,16:34:00,16:34:00,0450_01,7,深大寺,0,0,,
05_01_0553_04_003511,17:31:00,17:31:00,0450_01,7,深大寺,0,0,,
05_01_0553_06_003511,18:26:00,18:26:00,0450_01,7,深大寺,0,0,,
05_01_0592_02_003511,11:56:00,11:56:00,0450_01,7,深大寺,0,0,,
05_01_0592_04_003511,12:36:00,12:36:00,0450_01,7,深大寺,0,0,,
05_01_0901_02_003511,15:36:00,15:36:00,0450_01,7,深大寺,0,0,,
05_01_0901_04_003511,16:19:00,16:19:00,0450_01,7,深大寺,0,0,,
05_01_0901_06_003511,17:13:00,17:13:00,0450_01,7,深大寺,0,0,,
05_01_0901_08_003511,18:05:00,18:05:00,0450_01,7,深大寺,0,0,,
05_01_0951_02_003511,15:19:00,15:19:00,0450_01,7,深大寺,0,0,,
05_01_0951_04_003511,16:01:00,16:01:00,0450_01,7,深大寺,0,0,,
05_01_0951_06_003511,16:56:00,16:56:00,0450_01,7,深大寺,0,0,,
05_01_0951_08_003511,17:49:00,17:49:00,0450_01,7,深大寺,0,0,,
05_01_1072_02_003511,10:56:00,10:56:00,0450_01,7,深大寺,0,0,,
05_01_1072_04_003511,11:36:00,11:36:00,0450_01,7,深大寺,0,0,,
05_02_0052_02_003511,14:51:00,14:51:00,0450_01,7,深大寺,0,0,,
05_02_0052_04_003511,15:43:00,15:43:00,0450_01,7,深大寺,0,0,,
